Picture,Name,Born,Died,Years Nominated,Notes
1901
images/1.jpg,,Frédéric Passy[a],"May 20, 1822Paris, France","June 12, 1912Neuilly-sur-Seine, France","1901, 1903[4]",Shared the 1901 Nobel Peace Prize.[5][6]
images/2.jpg,,Henry Dunant[b],"May 8, 1828Geneva, Switzerland","October 30, 1910Heiden, Switzerland",1901
images/3.jpg,,Élie Ducommun[c],"February 19, 1833Geneva, Switzerland","December 7, 1906Bern, Switzerland","1901,1902, 1903[4]",Shared the 1902 Nobel Peace Prize.[7][8]
images/4.jpg,,Charles Albert Gobat[d],"May 21, 1843Tramelan, Switzerland","March 16, 1914Bern, Switzerland","1901,1902, 1903[9]"
images/5.jpg,,William Randal Cremer[e],"March 18, 1828Fareham, United Kingdom","July 22, 1908London, United Kingdom","1901, 1902,1903, 1904[10]",Won the 1903 Nobel Peace Prize.[11]
images/6.jpg,,Bertha Sophie von Suttner[f],"June 9, 1843Prague, Bohemia, Austrian Empire","June 21, 1914Vienna, Austria-Hungary","1901, 1902, 1903, 1904,1905",First woman towin the 1905 Nobel Peace Prize.[12]
images/7.jpg,,Konrad Beyer,"July 13, 1834Stuttgart, Kingdom of Württemberg","March 17, 1906Stuttgart, German Empire",1901,"Nominated the only time by writer Emil Jakob Jonas (pseud.Löwenbalk von Hohenthal, 1824-1912).[13]"
images/8.jpg,,Jan Gotlib Bloch[g],"June 24, 1836Radom, Congress Poland","January 7, 1902Warsaw, Congress Poland",1901,[14]
images/9.jpg,,Edouard Linker[h],"?Vienna, Austria","?Vienna, Austria",1901,Nominated the only time byAlexander Vutkovitch.[15]
images/10.jpg,,Arthur Mülberger (Mühlberger)[i],"January 30, 1847Hohenheim, Stuttgart, Kingdom of Württemberg","November 5, 1907Stuttgart, German Empire",1901,Nominated the only time byFr.Haußmann.[16]
images/11.jpg,,Tsar Nikolai II of Russia[j],"May 18, 1868Saint Petersburg, Russian Empire","July 17, 1918Yekaterinburg, Russian SFSR",1901,Emperor of All Imperial Russia (1894–1917).[17]
images/12.jpg,,Beniamino Pandolfi Guttadauro[k],"June 12, 1836Naples, Kingdom of the Two Sicilies","January 29, 1909Naples, Italy",1901,Nominated the only time by the Italian Inter-Parliamentary Group.[18]
